kind,name,runtime_address,file_offset,size,layout,consumers,evidence,confidence,unresolved_fields
container,NVTSC global header,N/A,0x00000000,0x20,"+0x00 magic[11]; +0x0B..+0x1F unresolved header/reserved",inventory_firmware.py,literal magic and record-0 boundary,HIGH,+0x0B..+0x1F semantics
container,NVTSC record header,N/A,per-record,0x20,"+0x00 be32 flash_target; +0x04 be32 payload_length; +0x08 be32 checksum_or_sentinel; +0x0C be32 tag; +0x10 reserved[16]",inventory_firmware.py,ten validated records,CONFIRMED,checksum sentinel policy owner
container,Footer partition pair,N/A,0x0034A340,0x8,"be32 flash_target; be32 meaningful_length",boot/update loader,9 pairs followed by three all-FF sentinel pairs,CONFIRMED,absent target contents
table,Main companion trap-name table,N/A,0x0002B514,0x8C,"be32 signature 0x05B8D800; repeated be32 trap_id + be32 string_pointer (17 entries)",main trap/runtime consumer,inventory_companion_records.py and main-data pointers,CONFIRMED,later record-4 ABI fields
table,Link companion trap-name table,N/A,0x00349200,0x8C,"be32 signature 0x05B8D800; repeated be32 trap_id + be32 string_pointer (17 entries)",link trap/runtime consumer,homologous IDs and A006xxxx pointers,CONFIRMED,later record-8 ABI fields
descriptor,Factory category descriptor,0x002A4A60,0x002D2760,0x18,"+0x14 item count; +0x15 condition; +0x16 supported; other fields unresolved",factory category renderer 0x1D9B60,MGA rendering and hardware support-byte experiment,HIGH,+0x00..+0x13 and +0x17
descriptor,MGA item descriptor,0x002A4E58,0x002D2B58,0x2C,"+0x00 name[0x18]; +0x18 be32 kind; +0x1C be32 display_format; +0x20 be32 maximum; +0x24 be16 primary_selector; +0x26 be16 secondary_selector; +0x28 be32 apply_selector",renderer 0x1D99C0; editor 0x1DA96C,35 records plus emulator mutation trace,CONFIRMED,semantic distinction between kind 2 and 3
enum,Factory item kind,N/A,N/A,4,"2/3 display-only in recovered MGA path; 4 byte resolver/write; 5 two-selector read",renderer 0x1D99C0; editor 0x1DA96C,raw compare/branches and emulator,CONFIRMED,intended higher-level meaning of 2 versus 3
enum,SECAPP_KEYEVT,N/A,0x0023525C,1,"0x40 PWR .. 0x57 END; FACT=0x4D; MGA=0x54",key/event dispatchers,event-name table plus indexed dispatch,CONFIRMED,events below 0x40 and product-specific extensions
table,Raw joystick-to-event map,0x002076B8,0x002353B8,implementation-defined,"raw1 INPUT; raw2 UP; raw3 DOWN; raw4 MENU/LEFT; raw5 AUTO/RIGHT",key mapper and state-dependent remapper,table values plus long-UP hardware observation,HIGH,context selector schema
table,Factory status resource pointers,0x002A7770,0x002D5470,0xD4,"53 be32 string pointers",factory renderer 0x1DB94C,resource IDs 0..52 and literal-ID draw calls,CONFIRMED,no value/action fields exist in this table
table,English resource pointers,0x002A9F90,0x002D7C90,0x52C,"331 be32 localized-string pointers",normal OSD resource renderer,pointer bounds and localized strings,HIGH,language-bank master descriptor
record,EDID template,N/A,0x00235D00,0x100,"EDID base/extension bytes; display-name descriptor; checksum byte",EDID read/write and port capability paths,22 templates at 0x100 stride with valid checksums,HIGH,exact per-port template selector mapping
format,Update filename identity,N/A,0x00273358,0x12,"M-C5500GGZA-NNNN.N plus bracketed whole-file sum16 in filename",USBCop_CheckVersion 0x14CC9C,fixed-position comparisons and hardware update,CONFIRMED,filesystem message envelope between 8051 and SPARC
state,Link PreAEQ channel state,0xA807803C,N/A,0x898 stride,"preAEQIdx byte at channel_base+3; learned RCT at +0x884; learned CFT at +0x886",Jay_EQ_PreAEQ_S and RunAEQ,raw loads/stores and emulator traces,HIGH,remaining fields in 0x898-byte state object
table,PreAEQ candidate entry,0xA008C9A6,0x00346086,0x4,"byte0 low nibble RCT; be16 +2 CFT",Jay_EQ_PreAEQ_S 0xA00778F4,table-index loads and emulator selection,CONFIRMED,byte1 semantics
state,OSD callback bank,0xA8037D80,N/A,0x64,"25 four-byte function-pointer slots",setters 0x1A4DCC..0x1A4EEC; wrappers 0x1A4EF8..0x1A5310,27 recovered registration bindings,HIGH,runtime replacements and ownership lifetime
message,8051-SPARC update mailbox,N/A,N/A,UNRESOLVED,"command/status identifiers observed; byte-level envelope unresolved",record-2 updater; main update state; STBC mailbox,strings and cross-processor state transitions,UNRESOLVED,buffer address length sequence checksum and acknowledgement schema
persistent,Configuration selector map,N/A,N/A,0x36 selectors,"selector 0..0x35 -> RAM byte and persistent offset via 0x1B3FB0/0x1B4280",factory generic editor and user configuration,editor disassembly and sentinel emulator,HIGH,complete symbolic name/range for each selector
persistent,NVRAM block directory,N/A,N/A,UNRESOLVED,"UD; PQ; factory; factory MGA; debug blocks with address/size metadata",SecHalUserData and USB-data paths,debug strings and differential save routines,HIGH,complete block base/size table and wear policy
